LWIN,DISPLAY_NAME,PRODUCER_NAME,WINE,COUNTRY,REGION,COLOUR,TYPE,FIRST_VINTAGE,FINAL_VINTAGE
9000001,Château Lafite Rothschild,Château Lafite Rothschild,Grand Vin,France,Pauillac,Red,Still,1800,
9000002,Château Margaux,Château Margaux,Grand Vin,France,Margaux,Red,Still,1800,
9000003,Château Latour,Château Latour,Grand Vin,France,Pauillac,Red,Still,1800,
9000004,Château Mouton Rothschild,Château Mouton Rothschild,Grand Vin,France,Pauillac,Red,Still,1850,
9000005,Château d'Yquem,Château d'Yquem,Sauternes,France,Sauternes,White,Still,1800,
9000006,Domaine de la Romanée-Conti Romanée-Conti,Domaine de la Romanée-Conti,Romanée-Conti Grand Cru,France,Burgundy,Red,Still,1900,
9000007,Opus One,Opus One,Napa Valley,USA,Napa Valley,Red,Still,1979,
9000008,Screaming Eagle Cabernet Sauvignon,Screaming Eagle,Cabernet Sauvignon,USA,Napa Valley,Red,Still,1992,
9000009,Caymus Cabernet Sauvignon,Caymus Vineyards,Cabernet Sauvignon,USA,Napa Valley,Red,Still,1972,
9000010,Penfolds Grange,Penfolds,Grange,Australia,South Australia,Red,Still,1951,
9000011,Sassicaia,Tenuta San Guido,Sassicaia,Italy,Tuscany,Red,Still,1968,
9000012,Antinori Tignanello,Marchesi Antinori,Tignanello,Italy,Tuscany,Red,Still,1971,
9000013,Vega Sicilia Único,Vega Sicilia,Único,Spain,Ribera del Duero,Red,Still,1915,
9000014,Dom Pérignon,Moët & Chandon,Dom Pérignon,France,Champagne,White,Sparkling,1921,
9000015,Krug Grande Cuvée,Krug,Grande Cuvée,France,Champagne,White,Sparkling,,
9000016,Veuve Clicquot Yellow Label Brut,Veuve Clicquot,Yellow Label Brut,France,Champagne,White,Sparkling,,
9000017,Cloudy Bay Sauvignon Blanc,Cloudy Bay,Sauvignon Blanc,New Zealand,Marlborough,White,Still,1985,
9000018,Kim Crawford Sauvignon Blanc,Kim Crawford,Sauvignon Blanc,New Zealand,Marlborough,White,Still,1996,
9000019,Cakebread Cellars Chardonnay,Cakebread Cellars,Chardonnay,USA,Napa Valley,White,Still,1973,
9000020,Whispering Angel Rosé,Château d'Esclans,Whispering Angel,France,Provence,Rosé,Still,2006,
